lid,city,endtime,title,url,price,changed,content,zipcode,library,imageurl,teaser,street,status,longitude,starttime,latitude,_id,id,streamtime
1,Aarhus,2013-11-05 17:00:00,Lav din egen 'bogæder'		,https://www.aakb.dk/node/8989,0,2013-11-04T11:53:11,"
<p><img title="""" src=""https://www.aakb.dk/files/content_images/bogmaerkertilweb.jpg"" alt="""" width=""267"" height=""200"" /></p>
<p>&nbsp;</p>
<p>Har du nogensinde læst en bog, der var så god, at du nærmest slugte den?</p>
<p>&nbsp;</p>
<p>En god bog, kan næsten blive endnu bedre, hvis du har et sjovt bogmærke.</p>
<p>&nbsp;</p>
<p>Derfor laver vi ’bogædere’ på Hovedbiblioteket denne tirsdag fra klokken 15.00 til 17.00 i børnebiblioteket.</p>
<p>&nbsp;</p>
<p>Tag din fantasi med, og lav dit eget søde, sjove, uhyggelige eller skøre bogmærke.</p>
<p>&nbsp;</p>
<p>Du er selvfølgelig også velkommen til at låne en god bog eller to med hjem til det bogmærke, du får lavet :-)</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
",8000,Hovedbiblioteket,https://www.aakb.dk/files/list_images/bogmaerkertilweb.jpg,"Kom og vær med, når vi tirsdag eftermiddag laver vores egne bogmærker.",Møllegade 1,1,10.200179,2013-11-05 15:00:00,56.156617,258,8989,2014-12-08 17:44:00
42,Viby J,2013-12-30 00:00:00,Keramiker Susanne Bidstrup udstiller på Viby Bibliotek ,https://www.aakb.dk/node/9235,0,2013-12-02T15:05:32,"
<p>Susanne Bidstrup arbejder både med drejede brugsting og unikke former i stentøjsler og porcelæn. Hun bruger ofte skrifttegn i sine dekorationer. Gentagelsen og rytmen giver en fornemmelse af ro, og udover det rent dekorative, udtrykker skrifttegnene også kommunikation mellem mennesker – også på tværs af tid og sted. Inspirationen kommer mange steder fra og det er hensigten på samme tid at skabe noget genkendeligt og nyt, hvor det æstetiske udtryk er væsentligt. Se mere på hjemme-siden <a href=""http://www.bidstrupkeramik.dk"" title=""www.bidstrupkeramik.dk"">www.bidstrupkeramik.dk</a> Udstillingen kan ses i bibliotekets åbningstid.</p>
<p><img src=""https://www.aakb.dk/files/content_images/susanne_bidstrup2_0.jpg"" alt="""" title="""" width=""200"" height=""150"" /></p>
",8260,Viby Bibliotek,https://www.aakb.dk/files/list_images/susanne_bidstrup2_0.jpg,Inspirerende udstilling,Skanderborgvej 170,2,10.164431,2013-12-02 00:00:00,56.130402,379,9235,2014-12-08 17:44:00
6,Beder,2014-02-27 21:00:00,Ølsmagning,https://www.aakb.dk/node/9227,70,2014-01-24T11:01:24,"
<p><img src=""https://www.aakb.dk/files/content_images/oelsmagning_1.jpg"" alt="""" title="""" width=""512"" height=""269"" /></p>
<p>Da der findes mange gode øl, kan det være en jungle at nå igennem dem alle. Torsdag den 27. februar inviterer Leo Thinesen i samarbejde med Beder-Malling Bibliotek til ølsmagning, hvor der præsenteres en lang række øl. Udover, at der til arrangementet kan smages på spændende øl, vil der også blive serveret små snacks.</p>
",8330,Beder-Malling Bibliotek,https://www.aakb.dk/files/list_images/oelsmagning1.jpg,Kom til ølsmagning med en ægte ølentusiast!,Kirkebakken 41,2,10.216045,2014-02-27 19:00:00,56.060321,371,9227,2014-12-08 17:44:00
55,Åby,2013-10-31 00:00:00,Susanne Butcher udstiller på Åby Bibliotek i oktober,https://www.aakb.dk/node/8920,0,2013-10-28T14:30:25,"
<p><img src=""https://www.aakb.dk/files/content_images/susannebutcher2_570.jpg"" alt=""susannebutcher2"" title="""" width=""570"" height=""423"" />hjemmeside: <a href=""http://www.susannebutcher.dk/"">http://www.susannebutcher.dk/</a>&nbsp;</p>
<p>Eksempler på billeder:</p>
<p><img src=""https://www.aakb.dk/files/content_images/susannebutcher1_570.jpg"" alt=""susannebutcher1"" title="""" width=""570"" height=""450"" /></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
",8230,Åby Bibliotek,https://www.aakb.dk/files/list_images/susannebutcher1_570.jpg,"Susanne Butcher er født i 1966, og er autodidakt billedkunstner. Selvstændig siden 2007, efter et længere og vedholdende tilløb, for at få det til at lykkes.
",Ludvig Feilbergs Vej 7,1,10.162515,2013-10-01 00:00:00,56.156438,233,8920,2014-12-08 17:44:00
1,Aarhus,2014-04-18 11:30:00,International Playgroup,https://www.aakb.dk/node/9325,0,2013-12-10T16:45:18,"
<p><img title="""" src=""https://www.aakb.dk/files/content_images/colourbox2618060_weblille_12.jpg"" alt="""" width=""448"" height=""299"" /></p>
<p>&nbsp;&nbsp;&nbsp;</p>
<p>We play, read books, show films and many other things, when UIC and Aarhus Main Library invite you to International Playgroup at 10.30 AM.</p>
<p>&nbsp;</p>
<p>It's a casual event where children can play and the parent(s) can network, meet other newcomers and get to know more about the library.</p>
<p>&nbsp;</p>
<p>UIC have activities free og charge to AU Staff, their family members and all associated with International Community.</p>
<p>Go to <a href=""http://www.au.dk/uic"">www.au.dk/uic</a> for further information.</p>
<p>&nbsp;</p>
<p>We're looking forward to seeing you in the library.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
",8000,Hovedbiblioteket,https://www.aakb.dk/files/list_images/colourbox2618060_weblille_12.jpg,Aarhus Main Library in cooperation with UIC invite newcomers to International Playgroup every other friday in the children's library.,Møllegade 1,1,10.200179,2014-04-18 10:30:00,56.156617,416,9325,2014-12-08 17:44:00
1,Aarhus,2014-05-16 11:30:00,International Playgroup,https://www.aakb.dk/node/9327,0,2013-12-10T17:29:50,"
<p><img title="""" src=""https://www.aakb.dk/files/content_images/colourbox2618060_weblille_14.jpg"" alt="""" width=""448"" height=""299"" /></p>
<p>&nbsp;</p>
<p>We play, read books, show films and many other things, when UIC and Aarhus Main Library invite you to International Playgroup at 10.30 AM.</p>
<p>&nbsp;</p>
<p>It's a casual event where children can play and the parent(s) can network, meet other newcomers and get to know more about the library.</p>
<p>&nbsp;</p>
<p>UIC have activities free og charge to AU Staff, their family members and all associated with International Community.</p>
<p>Go to <a href=""http://www.au.dk/uic"" title=""www.au.dk/uic"">www.au.dk/uic</a> for further information.</p>
<p>&nbsp;</p>
<p>We're looking forward to seeing you in the library.</p>
<p>&nbsp;</p>
",8000,Hovedbiblioteket,https://www.aakb.dk/files/list_images/colourbox2618060_weblille_14.jpg,Aarhus Main Library in cooperation with UIC invite newcomers to International Playgroup every other friday in the children's library.,Møllegade 1,1,10.200179,2014-05-16 10:30:00,56.156617,418,9327,2014-12-08 17:44:00
33,Lystrup,2014-03-13 12:00:00,Internet for begyndere,https://www.aakb.dk/node/9043,0,2014-01-27T15:28:06,"
<p>Kurset er en introduktion til de basale funktioner på Internettet: Hvordan finder man rundt på nettet og hvad er et link? Kurset giver også en kort introduktion til søgemaskinen Google.</p>
<p>Der vil blive vekslet mellem oplæg og øvelser.</p>
<p>Kurset kræver ingen forudsætninger, men det er en fordel at have kendskab til mus og tastatur. Der er mulighed for at komme kl. 9.30 og øve sig med musen.</p>
<p>Tilmelding nødvendig på tlf. 8713 1980.</p>
<p><img src=""https://www.aakb.dk/files/content_images/internet_11.jpg"" alt=""Illustration af internettet"" title="""" width=""271"" height=""186"" /></p>
",8520,Lystrup Bibliotek,https://www.aakb.dk/files/list_images/internet_15.jpg,Vil du være dus med Internettet? Lystrup Bibliotek hjælper dig godt i gang med kurset ”Internet for begyndere”.,Bystævnet 4 B,1,10.228713,2014-03-13 10:00:00,56.234167,282,9043,2014-12-08 17:44:00
36,Sabro,2013-11-13 11:30:00,borger.dk,https://www.aakb.dk/node/8195,0,2013-10-28T14:28:15,"
<p>Vi ser især på ""Min side"" og ""Digital Post"" på borger.dk</p>
<p>Forudsætninger: Du skal have NemId og kendskab til brug af mus og tastatur.</p>
<p>Tilmelding: Ved henvendelse til Sabro Bibliotek, tlf. 8694 8480</p>
",8471,Sabro Bibliotek,https://www.aakb.dk/files/list_images/borger3_1.jpg,Min side og Digital Post,Sabro Skolevej 4,1,10.023125,2013-11-13 10:30:00,56.211735,73,8195,2014-12-08 17:44:00
1,Aarhus,2014-01-18 10:30:00,Breakfast for International families,https://www.aakb.dk/node/9010,0,2014-01-08T14:20:42,"
<p class=""MsoNormal"">&nbsp;</p>
<p class=""MsoNormal""><img title="""" src=""https://www.aakb.dk/files/content_images/colourbox16979431.jpg_web_lille_1.jpg"" alt="""" width=""448"" height=""299"" /></p>
<p class=""MsoNormal"">&nbsp;</p>
<p class=""MsoNormal"">We welcome international families to a breakfast event on saturday the 18th of January at 9.00 AM.</p>
<p class=""MsoNormal""><br />
The breakfast is an opportunity for International Families to get together in informal settings.&nbsp;</p>
<p>It is also a possibility to learn more about the library.</p>
<p>&nbsp;</p>
<p>After the breakfast Louise Overgaard from the Main Library will talk about childhood and libraries – how can the library support children’s development, play and learning?</p>
<p>Louise will also give a presentation of the Main Library and the new library, Dokk1.<br />
</p>
<p><br />
Throughout the event, the children can play with LEGO building blocks, play games on Wii or read children’s books.</p>
<p>Also, throughout January, the Main Library has transformed the entrance hall into a workshop of good deeds. Here all children can come and perform a good deed, or bring their used toys or books and donate it to children who don’t have any themselves.</p>
<p>&nbsp;</p>
<p>For every good deed or donation LEGO will donate 25 kroner to “Danmarks Indsamling 2014” – Denmarks biggest charity event. All the collected money will go to children who have lost one or both of their parents.</p>
<p>&nbsp;</p>
<p>The breakfast is for free, but booking will be needed.</p>
<p>&nbsp;</p>
<p>Please book your ticket by clicking the green button.</p>
<p>&nbsp;&nbsp;</p>
",8000,Hovedbiblioteket,https://www.aakb.dk/files/list_images/colourbox16979431.jpg_web_lille_1.jpg,Breakfast event where you can hear inspirational talks and meet other families,Møllegade 1,2,10.200179,2014-01-18 09:00:00,56.156617,263,9010,2014-12-08 17:44:00
42,Viby J,2013-10-26 10:45:00,Musik og sjov med Dorte Nørgaard,https://www.aakb.dk/node/8114,0,2013-10-18T11:05:47,"
<p>Dorte Nørgaard kommer forbi med sit populære arrangement for de mindste. Et par bamsesange er på programmet i anledning af International Bamsedag søndag 27. oktober.</p>
<p>For børn 0-3 år og deres voksne. Gratis</p>
<p><strong>Tilmelding via hjemmesiden fra lørdag 12. oktober</strong></p>
<p>&nbsp;</p>
<p><img src=""https://www.aakb.dk/files/content_images/dorte_noergaard300.jpg"" alt="""" title="""" width=""300"" height=""419"" /></p>
",8260,Viby Bibliotek,https://www.aakb.dk/files/list_images/dorte_noergaard120.jpg,Tag din bamse med og syng med på bamsesange,Skanderborgvej 170,1,10.164431,2013-10-26 10:00:00,56.130402,44,8114,2014-12-08 17:44:00
